# censim histogram export REAL_ARABIDOPSIS_330arrays
# trajectories=330 survived=330 collapsed=0
# unique_per_kb: min=0 max=6 nbins=480 log_scale=0 total=0 underflow=0 overflow=0
# hors_per_kb: min=0 max=2000 nbins=480 log_scale=0 total=330 underflow=0 overflow=1
# block_size: min=1 max=1e+06 nbins=480 log_scale=1 total=340782660 underflow=0 overflow=0
# block_gap: min=1 max=1e+07 nbins=480 log_scale=1 total=340782660 underflow=0 overflow=0
# similarity: min=0 max=1 nbins=480 log_scale=0 total=340782660 underflow=0 overflow=0
# diversity: min=0 max=1 nbins=480 log_scale=0 total=340782660 underflow=0 overflow=0
# composite: min=1 max=1e+15 nbins=480 log_scale=1 total=340782660 underflow=0 overflow=0
# collapse_gen: min=0 max=6e+06 nbins=480 log_scale=0 total=0 underflow=0 overflow=0
metric,bin,bin_lo,bin_center,bin_hi,count
unique_per_kb,0,0,0.00625,0.0125,0
unique_per_kb,1,0.0125,0.01875,0.025,0
unique_per_kb,2,0.025,0.03125,0.0375,0
unique_per_kb,3,0.0375,0.04375,0.05,0
unique_per_kb,4,0.05,0.05625,0.0625,0
unique_per_kb,5,0.0625,0.06875,0.075,0
unique_per_kb,6,0.075,0.08125,0.0875,0
unique_per_kb,7,0.0875,0.09375,0.1,0
unique_per_kb,8,0.1,0.10625,0.1125,0
unique_per_kb,9,0.1125,0.11875,0.125,0
unique_per_kb,10,0.125,0.13125,0.1375,0
unique_per_kb,11,0.1375,0.14375,0.15,0
unique_per_kb,12,0.15,0.15625,0.1625,0
unique_per_kb,13,0.1625,0.16875,0.175,0
unique_per_kb,14,0.175,0.18125,0.1875,0
unique_per_kb,15,0.1875,0.19375,0.2,0
unique_per_kb,16,0.2,0.20625,0.2125,0
unique_per_kb,17,0.2125,0.21875,0.225,0
unique_per_kb,18,0.225,0.23125,0.2375,0
unique_per_kb,19,0.2375,0.24375,0.25,0
unique_per_kb,20,0.25,0.25625,0.2625,0
unique_per_kb,21,0.2625,0.26875,0.275,0
unique_per_kb,22,0.275,0.28125,0.2875,0
unique_per_kb,23,0.2875,0.29375,0.3,0
unique_per_kb,24,0.3,0.30625,0.3125,0
unique_per_kb,25,0.3125,0.31875,0.325,0
unique_per_kb,26,0.325,0.33125,0.3375,0
unique_per_kb,27,0.3375,0.34375,0.35,0
unique_per_kb,28,0.35,0.35625,0.3625,0
unique_per_kb,29,0.3625,0.36875,0.375,0
unique_per_kb,30,0.375,0.38125,0.3875,0
unique_per_kb,31,0.3875,0.39375,0.4,0
unique_per_kb,32,0.4,0.40625,0.4125,0
unique_per_kb,33,0.4125,0.41875,0.425,0
unique_per_kb,34,0.425,0.43125,0.4375,0
unique_per_kb,35,0.4375,0.44375,0.45,0
unique_per_kb,36,0.45,0.45625,0.4625,0
unique_per_kb,37,0.4625,0.46875,0.475,0
unique_per_kb,38,0.475,0.48125,0.4875,0
unique_per_kb,39,0.4875,0.49375,0.5,0
unique_per_kb,40,0.5,0.50625,0.5125,0
unique_per_kb,41,0.5125,0.51875,0.525,0
unique_per_kb,42,0.525,0.53125,0.5375,0
unique_per_kb,43,0.5375,0.54375,0.55,0
unique_per_kb,44,0.55,0.55625,0.5625,0
unique_per_kb,45,0.5625,0.56875,0.575,0
unique_per_kb,46,0.575,0.58125,0.5875,0
unique_per_kb,47,0.5875,0.59375,0.6,0
unique_per_kb,48,0.6,0.60625,0.6125,0
unique_per_kb,49,0.6125,0.61875,0.625,0
unique_per_kb,50,0.625,0.63125,0.6375,0
unique_per_kb,51,0.6375,0.64375,0.65,0
unique_per_kb,52,0.65,0.65625,0.6625,0
unique_per_kb,53,0.6625,0.66875,0.675,0
unique_per_kb,54,0.675,0.68125,0.6875,0
unique_per_kb,55,0.6875,0.69375,0.7,0
unique_per_kb,56,0.7,0.70625,0.7125,0
unique_per_kb,57,0.7125,0.71875,0.725,0
unique_per_kb,58,0.725,0.73125,0.7375,0
unique_per_kb,59,0.7375,0.74375,0.75,0
unique_per_kb,60,0.75,0.75625,0.7625,0
unique_per_kb,61,0.7625,0.76875,0.775,0
unique_per_kb,62,0.775,0.78125,0.7875,0
unique_per_kb,63,0.7875,0.79375,0.8,0
unique_per_kb,64,0.8,0.80625,0.8125,0
unique_per_kb,65,0.8125,0.81875,0.825,0
unique_per_kb,66,0.825,0.83125,0.8375,0
unique_per_kb,67,0.8375,0.84375,0.85,0
unique_per_kb,68,0.85,0.85625,0.8625,0
unique_per_kb,69,0.8625,0.86875,0.875,0
unique_per_kb,70,0.875,0.88125,0.8875,0
unique_per_kb,71,0.8875,0.89375,0.9,0
unique_per_kb,72,0.9,0.90625,0.9125,0
unique_per_kb,73,0.9125,0.91875,0.925,0
unique_per_kb,74,0.925,0.93125,0.9375,0
unique_per_kb,75,0.9375,0.94375,0.95,0
unique_per_kb,76,0.95,0.95625,0.9625,0
unique_per_kb,77,0.9625,0.96875,0.975,0
unique_per_kb,78,0.975,0.98125,0.9875,0
unique_per_kb,79,0.9875,0.99375,1,0
